year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,32467,30559,"Miami, FL (Metropolitan Area)","Seattle, WA",11697,14747,FLL,SEA,2724,317.08,"(44.977479, -93.264346)","(47.603229, -122.33028)",202411169714747FLLSEA,Post-Pandemic
2025,1,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",11042,12266,CLE,IAH,1106,212.58,"(41.505546, -81.6915)","(29.760803, -95.369506)",202411104212266CLEIAH,Post-Pandemic
2025,1,33105,30466,"Cincinnati, OH","Phoenix, AZ",11193,10466,CVG,AZA,1569,125.66,"(39.104427, -84.513808)","(30.406931, -87.217578)",202411119310466CVGAZA,Post-Pandemic
2025,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10721,12264,BOS,IAD,418,171.91,"(42.358894, -71.056742)","(38.892062, -77.019912)",202411072112264BOSIAD,Post-Pandemic
2025,1,33342,31703,"Milwaukee, WI","New York City, NY (Metropolitan Area)",13342,12391,MKE,ISP,777,225.1,"(43.041072, -87.909421)","(40.123164, -75.333718)",202411334212391MKEISP,Post-Pandemic
2025,1,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",13487,14107,MSP,PHX,1276,228.3,"(44.977479, -93.264346)","(30.406931, -87.217578)",202411348714107MSPPHX,Post-Pandemic
2025,1,30466,34614,"Phoenix, AZ","Salt Lake City, UT",14107,14869,PHX,SLC,507,175.26,"(30.406931, -87.217578)","(40.758478, -111.888142)",202411410714869PHXSLC,Post-Pandemic
2025,1,31057,30977,"Charlotte, NC","Chicago, IL",11057,13232,CLT,MDW,599,139.4,"(35.222936, -80.840161)","(41.775002, -87.696388)",202411105713232CLTMDW,Post-Pandemic
2025,1,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",13577,12197,MYR,HPN,601,229.85,"(33.68785, -78.883852)","(40.123164, -75.333718)",202411357712197MYRHPN,Post-Pandemic
2025,1,33198,32467,"Kansas City, MO","Miami, FL (Metropolitan Area)",13198,13303,MCI,MIA,1251,275.74,"(39.099792, -94.578559)","(44.977479, -93.264346)",202411319813303MCIMIA,Post-Pandemic
2025,1,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",10792,10800,BUF,BUR,2218,327.16,"(39.945422, -78.64671)","(34.052238, -118.243344)",202411079210800BUFBUR,Post-Pandemic
