year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,32467,30559,"Miami, FL (Metropolitan Area)","Seattle, WA",11697,14747,FLL,SEA,2724,317.08,"25.818657926992138, -80.30089992008288","47.60490210531131, -122.30959975376733",202411169714747FLLSEA,Post-Pandemic
2025,1,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",11042,12266,CLE,IAH,1106,212.58,"41.49657498253431, -81.70037642525823","29.75402924471362, -95.25854681876497",202411104212266CLEIAH,Post-Pandemic
2025,1,33105,30466,"Cincinnati, OH","Phoenix, AZ",11193,10466,CVG,AZA,1569,125.66,"39.1184591715016, -84.4916057804775","33.45644253857997, -112.08747472975207",202411119310466CVGAZA,Post-Pandemic
2025,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10721,12264,BOS,IAD,418,171.91,"42.354802625389624, -71.11763566666443","39.06854619558678, -77.28209870558013",202411072112264BOSIAD,Post-Pandemic
2025,1,33342,31703,"Milwaukee, WI","New York City, NY (Metropolitan Area)",13342,12391,MKE,ISP,777,225.1,"43.049691576007966, -87.9234915192468","40.722551776084316, -73.97924863938653",202411334212391MKEISP,Post-Pandemic
2025,1,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",13487,14107,MSP,PHX,1276,228.3,"44.97932251131572, -93.27385685659087","33.45644253857997, -112.08747472975207",202411348714107MSPPHX,Post-Pandemic
2025,1,30466,34614,"Phoenix, AZ","Salt Lake City, UT",14107,14869,PHX,SLC,507,175.26,"33.45644253857997, -112.08747472975207","40.760259272294405, -111.88118288803257",202411410714869PHXSLC,Post-Pandemic
2025,1,31057,30977,"Charlotte, NC","Chicago, IL",11057,13232,CLT,MDW,599,139.4,"35.226482442217936, -80.82749079551755","41.87456337224408, -87.6626642168663",202411105713232CLTMDW,Post-Pandemic
2025,1,31135,31703,"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",13577,12197,MYR,HPN,601,229.85,"33.69427321952338, -78.91309520031345","40.722551776084316, -73.97924863938653",202411357712197MYRHPN,Post-Pandemic
2025,1,33198,32467,"Kansas City, MO","Miami, FL (Metropolitan Area)",13198,13303,MCI,MIA,1251,275.74,"39.09727422425539, -94.59193653569932","25.818657926992138, -80.30089992008288",202411319813303MCIMIA,Post-Pandemic
2025,1,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",10792,10800,BUF,BUR,2218,327.16,"42.88848453606787, -78.88506497736563","33.79226917070069, -118.204909485967",202411079210800BUFBUR,Post-Pandemic
2025,1,30977,30615,"Chicago, IL","El Paso, TX",13232,11540,MDW,ELP,1237,223.89,"41.87456337224408, -87.6626642168663","31.76460427582054, -106.48111409217167",202411323211540MDWELP,Post-Pandemic
2025,1,33244,31703,"Memphis, TN","New York City, NY (Metropolitan Area)",13244,12391,MEM,ISP,1002,271.13,"35.12601349083242, -90.04491186616244","40.722551776084316, -73.97924863938653",202411324412391MEMISP,Post-Pandemic
2025,1,34524,33195,"Richmond, VA","Tampa, FL (Metropolitan Area)",14524,15304,RIC,TPA,731,129.71,"37.531327544259966, -77.47133072018607","28.042586526893363, -82.48802351156911",202411452415304RICTPA,Post-Pandemic
2025,1,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",12889,12391,LAS,ISP,2282,265.7,"36.17899535107113, -115.15803462061288","40.722551776084316, -73.97924863938653",202411288912391LASISP,Post-Pandemic
2025,1,30721,33667,"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",13296,13931,MHT,ORF,487,210.29,"42.354802625389624, -71.11763566666443","36.8740444347547, -76.21004560086016",202411329613931MHTORF,Post-Pandemic
2025,1,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",11292,11618,DEN,EWR,1659,263.83,"39.756924270957846, -104.97850757879121","40.722551776084316, -73.97924863938653",202411129211618DENEWR,Post-Pandemic
2025,1,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",14908,10466,SNA,AZA,370,45.28,"33.79226917070069, -118.204909485967","33.45644253857997, -112.08747472975207",202311490810466SNAAZA,Post-Pandemic
2025,1,31453,34524,"Houston, TX","Richmond, VA",12191,14524,HOU,RIC,1166,222.8,"29.75402924471362, -95.25854681876497","37.531327544259966, -77.47133072018607",202411219114524HOURIC,Post-Pandemic
2025,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13296,11278,MHT,DCA,418,249.54,"42.354802625389624, -71.11763566666443","39.06854619558678, -77.28209870558013",202411329611278MHTDCA,Post-Pandemic
2025,1,30792,30466,"Buffalo, NY","Phoenix, AZ",10792,14107,BUF,PHX,1912,272.22,"42.88848453606787, -78.88506497736563","33.45644253857997, -112.08747472975207",202411079214107BUFPHX,Post-Pandemic
2025,1,30194,31884,"Dallas/Fort Worth, TX","Spokane, WA",11259,11884,DAL,GEG,1486,167.35,"32.78949295097016, -96.9610454262068","47.666211264717916, -117.42515729883256",202131125911884DALGEG,During-Pandemic
2025,1,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",12892,11618,LAX,EWR,2510,350.45,"33.79226917070069, -118.204909485967","40.722551776084316, -73.97924863938653",202411289211618LAXEWR,Post-Pandemic
2025,1,32575,33485,"Los Angeles, CA (Metropolitan Area)","Madison, WI",12892,13485,LAX,MSN,1687,454.8,"33.79226917070069, -118.204909485967","43.08118654680559, -89.41604092706262",202011289213485LAXMSN,Pre-Pandemic
2025,1,31714,32575,"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)",14635,10800,RSW,BUR,2238,316.19,"26.63609003192515, -81.85573855366816","33.79226917070069, -118.204909485967",202411463510800RSWBUR,Post-Pandemic
2025,1,30466,30559,"Phoenix, AZ","Seattle, WA",14107,14747,PHX,SEA,1107,200.06,"33.45644253857997, -112.08747472975207","47.60490210531131, -122.30959975376733",202411410714747PHXSEA,Post-Pandemic
