year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk,period
2023,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",10800,14122,BUR,PIT,2136,34,395.29,WN,0.5993,372.15,WN,0.5993,372.15,"(34.052238, -118.243344)","(40.442169, -79.994945)",202321080014122BURPIT,Post-Pandemic
2023,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",12892,14122,LAX,PIT,2136,526,271.39,NK,0.5196,140.32,NK,0.5196,140.32,"(34.052238, -118.243344)","(40.442169, -79.994945)",202321289214122LAXPIT,Post-Pandemic
2023,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",12954,14122,LGB,PIT,2136,17,316.03,WN,0.9868,314.91,WN,0.9868,314.91,"(34.052238, -118.243344)","(40.442169, -79.994945)",202321295414122LGBPIT,Post-Pandemic
2023,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",13891,14122,ONT,PIT,2136,54,382.53,AA,0.3689,399.18,WN,0.3381,343.23,"(34.052238, -118.243344)","(40.442169, -79.994945)",202321389114122ONTPIT,Post-Pandemic
2023,2,32575,30198,"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",14908,14122,SNA,PIT,2136,156,297.01,MX,0.3733,131.43,MX,0.3733,131.43,"(34.052238, -118.243344)","(40.442169, -79.994945)",202321490814122SNAPIT,Post-Pandemic
2023,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",10800,15376,BUR,TUS,453,24,219.47,WN,0.4977,215.25,WN,0.4977,215.25,"(34.052238, -118.243344)","(35.167852, -103.726151)",202321080015376BURTUS,Post-Pandemic
2023,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",12892,15376,LAX,TUS,453,535,180.21,WN,0.4129,153.81,WN,0.4129,153.81,"(34.052238, -118.243344)","(35.167852, -103.726151)",202321289215376LAXTUS,Post-Pandemic
2023,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",12954,15376,LGB,TUS,453,8,156.54,WN,1.0,156.54,WN,1.0,156.54,"(34.052238, -118.243344)","(35.167852, -103.726151)",202321295415376LGBTUS,Post-Pandemic
2023,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",13891,15376,ONT,TUS,453,32,230.68,AA,0.6575,249.06,WN,0.3356,189.66,"(34.052238, -118.243344)","(35.167852, -103.726151)",202321389115376ONTTUS,Post-Pandemic
2023,2,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",14908,15376,SNA,TUS,453,61,207.7,AA,0.6679,214.45,WN,0.3194,193.66,"(34.052238, -118.243344)","(35.167852, -103.726151)",202321490815376SNATUS,Post-Pandemic
2023,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",10800,14107,BUR,PHX,370,1102,153.06,WN,0.7403,149.48,WN,0.7403,149.48,"(34.052238, -118.243344)","(30.406931, -87.217578)",202321080014107BURPHX,Post-Pandemic
2023,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",12892,14107,LAX,PHX,370,2035,162.62,WN,0.4429,143.91,WN,0.4429,143.91,"(34.052238, -118.243344)","(30.406931, -87.217578)",202321289214107LAXPHX,Post-Pandemic
2023,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",12954,14107,LGB,PHX,370,478,127.15,WN,0.9972,127.09,WN,0.9972,127.09,"(34.052238, -118.243344)","(30.406931, -87.217578)",202321295414107LGBPHX,Post-Pandemic
2023,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",13891,14107,ONT,PHX,370,554,183.11,WN,0.7274,177.99,WN,0.7274,177.99,"(34.052238, -118.243344)","(30.406931, -87.217578)",202321389114107ONTPHX,Post-Pandemic
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",10800,14747,BUR,SEA,978,1045,192.86,AS,0.9084,193.75,WN,0.0683,167.54,"(34.052238, -118.243344)","(47.603229, -122.33028)",202321080014747BURSEA,Post-Pandemic
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12892,14747,LAX,SEA,978,4006,180.89,AS,0.5067,176.31,AS,0.5067,176.31,"(34.052238, -118.243344)","(47.603229, -122.33028)",202321289214747LAXSEA,Post-Pandemic
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",12954,14747,LGB,SEA,978,73,171.95,WN,0.9172,161.83,WN,0.9172,161.83,"(34.052238, -118.243344)","(47.603229, -122.33028)",202321295414747LGBSEA,Post-Pandemic
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",13891,14747,ONT,SEA,978,1373,171.84,AS,0.6542,170.72,DL,0.2841,168.69,"(34.052238, -118.243344)","(47.603229, -122.33028)",202321389114747ONTSEA,Post-Pandemic
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",14908,14747,SNA,SEA,978,1976,208.65,AS,0.7359,205.66,AS,0.7359,205.66,"(34.052238, -118.243344)","(47.603229, -122.33028)",202321490814747SNASEA,Post-Pandemic
2023,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",10800,10693,BUR,BNA,1797,75,312.67,WN,0.7086,298.99,WN,0.7086,298.99,"(34.052238, -118.243344)","(36.166687, -86.779932)",202321080010693BURBNA,Post-Pandemic
2023,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",12892,10693,LAX,BNA,1797,1626,286.64,DL,0.3483,372.97,NK,0.1845,132.23,"(34.052238, -118.243344)","(36.166687, -86.779932)",202321289210693LAXBNA,Post-Pandemic
2023,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",12954,10693,LGB,BNA,1797,202,273.49,WN,0.9935,273.09,WN,0.9935,273.09,"(34.052238, -118.243344)","(36.166687, -86.779932)",202321295410693LGBBNA,Post-Pandemic
2023,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",13891,10693,ONT,BNA,1797,169,324.24,WN,0.4681,319.11,F9,0.1608,127.15,"(34.052238, -118.243344)","(36.166687, -86.779932)",202321389110693ONTBNA,Post-Pandemic
2023,2,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",14908,10693,SNA,BNA,1797,219,345.41,WN,0.4001,328.16,WN,0.4001,328.16,"(34.052238, -118.243344)","(36.166687, -86.779932)",202321490810693SNABNA,Post-Pandemic
2023,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,10821,BUR,BWI,2329,41,359.64,WN,0.8289,352.01,NK,0.0481,245.34,"(34.052238, -118.243344)","(38.892062, -77.019912)",202321080010821BURBWI,Post-Pandemic
2023,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,22,356.23,WN,0.4747,298.94,WN,0.4747,298.94,"(34.052238, -118.243344)","(38.892062, -77.019912)",202321080011278BURDCA,Post-Pandemic
2023,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,12264,BUR,IAD,2329,8,456.07,WN,0.4225,351.37,WN,0.4225,351.37,"(34.052238, -118.243344)","(38.892062, -77.019912)",202321080012264BURIAD,Post-Pandemic
2023,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,10821,LAX,BWI,2329,1334,283.9,NK,0.3931,174.58,NK,0.3931,174.58,"(34.052238, -118.243344)","(38.892062, -77.019912)",202321289210821LAXBWI,Post-Pandemic
2023,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12892,11278,LAX,DCA,2329,1384,411.88,AA,0.4701,425.47,AS,0.1933,344.07,"(34.052238, -118.243344)","(38.892062, -77.019912)",202321289211278LAXDCA,Post-Pandemic
